groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
enpe;enpè;3;23 %;;;
ewo;èwo;9;69 %;;;
ewo;éwo;4;31 %;;;
mofwaze;mofwazé;11;92 %;;;
mofwaze;mofwazè;1;8 %;;;
soufe;soufè;11;92 %;;;
soufe;soufé;1;8 %;;;
fo-nou;fò-nou;9;75 %;;;
fo-nou;fo-nou;3;25 %;oui;;
peche;pèchè;5;42 %;;;
peche;péché;3;25 %;;;
peche;péchè;3;25 %;;;
peche;pèché;1;8 %;;;
che;chè;10;91 %;;;
che;che;1;9 %;oui;;
woule;woulé;10;91 %;;;
woule;woule;1;9 %;oui;;
franse;fransé;9;82 %;;;
franse;franse;2;18 %;oui;;
mo-la;mò-la;8;73 %;;;
mo-la;mo-la;3;27 %;oui;;
moso;mòso;7;64 %;;;
moso;moso;3;27 %;oui;;
moso;môso;1;9 %;;;
vale;valè;6;55 %;;;
vale;valé;5;45 %;;;
lo;lò;9;90 %;;;
lo;lo;1;10 %;oui;;
boutey;boutèy;9;90 %;;;
boutey;boutey;1;10 %;oui;;
sove;sové;9;90 %;;;
sove;sovè;1;10 %;;;
kouve;kouvè;9;90 %;;;
kouve;kouvé;1;10 %;;;
bengne;bengné;9;90 %;;;
bengne;bèngné;1;10 %;;;
sete;sété;9;90 %;;;
sete;sètè;1;10 %;;;
meye;méyè;8;80 %;;;
meye;mèyè;1;10 %;;;
meye;méyé;1;10 %;;;
mannye;mannyè;8;80 %;;;
mannye;mannyé;2;20 %;;;
selman;sèlman;6;60 %;;;
selman;selman;4;40 %;oui;;
ge;gé;5;50 %;;;
ge;gè;5;50 %;;;
fore;foré;5;50 %;;;
fore;forè;5;50 %;;;
zorey;zòrèy;5;50 %;;;
zorey;zorèy;4;40 %;;;
zorey;zorey;1;10 %;oui;;
arete;arété;8;89 %;;;
arete;arèté;1;11 %;;;
wilyam;wilyàm;8;89 %;;;
wilyam;wilyam;1;11 %;oui;;
ek;ek;8;89 %;oui;;
ek;èk;1;11 %;;;
peche-la;péchè-la;8;89 %;;;
peche-la;pèchè-la;1;11 %;;;
zeb;zèb;7;78 %;;;
zeb;zéb;1;11 %;;;
zeb;zeb;1;11 %;oui;;
lage;lagé;6;67 %;;;
lage;lagè;3;33 %;;;
soley-la;solèy-la;6;67 %;;;
soley-la;sòlèy-la;3;33 %;;;
dewo;déwò;6;67 %;;;
dewo;dèwò;3;33 %;;;
kole;kòlè;5;56 %;;;
kole;kolé;3;33 %;;;
kole;kolè;1;11 %;;;
wob;wòb;7;88 %;;;
wob;wob;1;12 %;oui;;
mangrov;mangrov;7;88 %;oui;;
mangrov;mangròv;1;12 %;;;
eben;eben;7;88 %;oui;;
eben;ében;1;12 %;;;
plizye;plizyè;7;88 %;;;
plizye;plizyé;1;12 %;;;
kye;kyè;7;88 %;;;
kye;kyé;1;12 %;;;
paket;pakèt;7;88 %;;;
